MPN,Manufacturer,Category,Description,Thermal_Conductivity,Thickness,Width,Length,Price_THB
60-12-5791-T441-08,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Pad Pink 17.45mm x 14.28mm Rectangular Adhesive - One Side,1.1W/m-K,"0.0080"" (0.203mm)",,,18.27
THJP0603AST1,Vishay Dale Thin Film,"Fans, Blowers, Thermal Management",Thermal Pad 1.55mm x 0.84mm Rectangular,70W/m-K,"0.0300"" (0.762mm)",,,18.59
CP33-TO247-28.5-17.5-5.8-0.45,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Gray 28.50mm x 17.50mm x 5.80mm Rectangular,1.9W/m-K,"0.0177"" (0.450mm)",,,20.16
SPK10-0.006-00-58,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Beige 19.05mm x 12.70mm Rectangular,1.3W/m-K,"0.0060"" (0.152mm)",,,21.11
SPK10-0.006-00-104,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Beige 25.40mm x 19.05mm Rectangular,1.3W/m-K,"0.0060"" (0.152mm)",,,21.42
217-36CTRE6,Wakefield Thermal Solutions,"Fans, Blowers, Thermal Management","Heat Sink D²Pak (TO-263), SOL-20, SOT-223, TO-220 Copper 1.0W @ 55°C Top Mount",,"0.360"" (9.14mm)","0.600"" (15.24mm)","0.740"" (18.80mm)",21.74
SPT400-12-13.5-25,Bergquist,"Fans, Blowers, Thermal Management","Thermal Pad Gray, Green 25.02mm x 13.50mm Round",0.9W/m-K,"0.0120"" (0.305mm)",,,22.05
TG-A1250-15-15-1.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Green 15.00mm x 15.00mm Square,12.5W/m-K,"0.0394"" (1.000mm)",,,22.05
THJP0805AST1,Vishay Dale Thin Film,"Fans, Blowers, Thermal Management",Thermal Pad 2.01mm x 1.19mm Rectangular,77W/m-K,"0.0300"" (0.762mm)",,,22.05
60-11-8302-1674,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Pad Blue 18.03mm x 12.70mm Rectangular,1.0W/m-K,"0.0100"" (0.254mm)",,,22.37
SPK10-0.006-00-90,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Beige 21.84mm x 18.80mm Rectangular,1.3W/m-K,"0.0060"" (0.152mm)",,,22.68
